FIN Flag Count,ACK Flag Count,PSH Flag Count,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,act_data_pkt_fwd,Total Fwd Packets,Total Length of Fwd Packets,Destination Port,Flow Packets/s,Flow Bytes/s,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Flow IAT Min,Flow IAT Std,Flow Duration,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Max,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Subflow Fwd Bytes,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type,_protocol
0,2,0,0,0,0,0,1,21,443,6.779661017,179.6610169,3.389830508,3.389830508,295000,295000,0,295000,41,41,41,0,52,52,52,0,295000,0,0,0,0,0,0,0,0,0,0,20,20,41,52,46.5,7.778174593,60.5,26.5,21,0,0,0,0,0,0,Normal Traffic,6
0,1,0,0,0,0,0,1,21,443,1000,21000,1000,0,0,0,0,0,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,41,41,41,0,0,21,21,0,0,0,0,0,0,Normal Traffic,6
0,2,0,0,0,0,0,1,21,443,5.464480874,144.8087432,2.732240437,2.732240437,366000,366000,0,366000,41,41,41,0,52,52,52,0,366000,0,0,0,0,0,0,0,0,0,0,20,20,41,52,46.5,7.778174593,60.5,26.5,21,0,0,0,0,0,0,Normal Traffic,6
0,2,0,0,0,0,0,1,21,443,9.615384615,254.8076923,4.807692308,4.807692308,208000,208000,0,208000,41,41,41,0,52,52,52,0,208000,0,0,0,0,0,0,0,0,0,0,20,20,41,52,46.5,7.778174593,60.5,26.5,21,0,0,0,0,0,0,Normal Traffic,6
0,2,0,0,0,0,0,1,21,443,12.12121212,321.2121212,6.060606061,6.060606061,165000,165000,0,165000,41,41,41,0,52,52,52,0,165000,0,0,0,0,0,0,0,0,0,0,20,20,41,52,46.5,7.778174593,60.5,26.5,21,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,69,5353,1000,69000,1000,0,0,0,0,0,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,89,89,89,0,0,69,69,0,0,0,0,0,0,Normal Traffic,17
0,0,0,0,0,0,0,1,89,5353,1000,89000,1000,0,0,0,0,0,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,109,109,109,0,0,89,89,0,0,0,0,0,0,Normal Traffic,17
0,4,0,0,0,0,0,3,63,80,0.945402978,22.45332073,0.709052234,0.236350745,1410333.333,219000,1031725.416,4231000,41,41,41,0,52,52,52,0,2007000,4012000,2006000,1414.213562,2007000,2005000,0,0,0,0,0,60,20,41,52,43.75,5.5,30.25,23.75,63,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
0,0,0,0,0,0,0,1,20,80,1000,20000,1000,0,0,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,40,40,0,0,20,20,0,0,0,0,0,0,Normal Traffic,6
